stats_file,ipc_rate,mode,config,al,lq,iq,mdp,pbp,pdc,ptc
stats.26-01-31.20_46_06.log,8.17,perfALL,config1,128,64,32,oracle,1,1,1
stats.26-01-31.20_46_51.log,10.61,perfALL,config2,256,128,64,oracle,1,1,1
stats.26-01-31.20_47_37.log,11.1,perfALL,config3,512,256,128,oracle,1,1,1
stats.26-01-31.20_48_24.log,12.31,perfALL,config4,1024,512,256,oracle,1,1,1
stats.26-01-31.20_49_14.log,15.58,perfALL,config5,2048,1024,512,oracle,1,1,1
stats.26-01-31.20_50_09.log,16.0,perfALL,config6,4096,2048,1024,oracle,1,1,1
stats.26-01-31.20_51_16.log,0.86,realD$,config1,128,64,32,oracle,1,0,1
stats.26-01-31.20_52_35.log,1.19,realD$,config2,256,128,64,oracle,1,0,1
stats.26-01-31.20_53_57.log,1.43,realD$,config3,512,256,128,oracle,1,0,1
stats.26-01-31.20_55_26.log,1.61,realD$,config4,1024,512,256,oracle,1,0,1
stats.26-01-31.20_57_12.log,2.99,realD$,config5,2048,1024,512,oracle,1,0,1
stats.26-01-31.20_59_01.log,4.47,realD$,config6,4096,2048,1024,oracle,1,0,1
stats.26-01-31.21_01_06.log,7.72,realBP,config1,128,64,32,oracle,0,1,1
stats.26-01-31.21_01_52.log,9.89,realBP,config2,256,128,64,oracle,0,1,1
stats.26-01-31.21_02_38.log,10.33,realBP,config3,512,256,128,oracle,0,1,1
stats.26-01-31.21_03_25.log,11.39,realBP,config4,1024,512,256,oracle,0,1,1
stats.26-01-31.21_04_14.log,13.51,realBP,config5,2048,1024,512,oracle,0,1,1
stats.26-01-31.21_05_09.log,13.53,realBP,config6,4096,2048,1024,oracle,0,1,1
stats.26-01-31.21_06_10.log,8.03,noT$,config1,128,64,32,oracle,1,1,0
stats.26-01-31.21_06_55.log,10.2,noT$,config2,256,128,64,oracle,1,1,0
stats.26-01-31.21_07_40.log,10.77,noT$,config3,512,256,128,oracle,1,1,0
stats.26-01-31.21_08_27.log,12.06,noT$,config4,1024,512,256,oracle,1,1,0
stats.26-01-31.21_09_17.log,14.33,noT$,config5,2048,1024,512,oracle,1,1,0
stats.26-01-31.21_10_11.log,14.33,noT$,config6,4096,2048,1024,oracle,1,1,0
stats.26-01-31.21_11_11.log,2.31,unknown,config1,128,64,32,always predict conflict (always speculatively stall),1,1,1
stats.26-01-31.21_11_55.log,2.32,unknown,config2,256,128,64,always predict conflict (always speculatively stall),1,1,1
stats.26-01-31.21_12_41.log,2.32,unknown,config3,512,256,128,always predict conflict (always speculatively stall),1,1,1
stats.26-01-31.21_13_30.log,2.32,unknown,config4,1024,512,256,always predict conflict (always speculatively stall),1,1,1
stats.26-01-31.21_14_22.log,2.32,unknown,config5,2048,1024,512,always predict conflict (always speculatively stall),1,1,1
stats.26-01-31.21_15_26.log,2.32,unknown,config6,4096,2048,1024,always predict conflict (always speculatively stall),1,1,1
stats.26-01-31.21_16_51.log,8.17,unknown,config1,128,64,32,always predict no conflict (always speculatively execute),1,1,1
stats.26-01-31.21_17_30.log,7.87,unknown,config2,256,128,64,always predict no conflict (always speculatively execute),1,1,1
stats.26-01-31.21_18_12.log,7.87,unknown,config3,512,256,128,always predict no conflict (always speculatively execute),1,1,1
stats.26-01-31.21_18_56.log,7.87,unknown,config4,1024,512,256,always predict no conflict (always speculatively execute),1,1,1
stats.26-01-31.21_19_42.log,7.87,unknown,config5,2048,1024,512,always predict no conflict (always speculatively execute),1,1,1
stats.26-01-31.21_20_31.log,7.87,unknown,config6,4096,2048,1024,always predict no conflict (always speculatively execute),1,1,1
stats.26-01-31.21_21_24.log,8.17,realMDP-SS,config1,128,64,32,Store Sets,1,1,1
stats.26-01-31.21_22_04.log,10.61,realMDP-SS,config2,256,128,64,Store Sets,1,1,1
stats.26-01-31.21_22_43.log,11.09,realMDP-SS,config3,512,256,128,Store Sets,1,1,1
stats.26-01-31.21_23_25.log,12.31,realMDP-SS,config4,1024,512,256,Store Sets,1,1,1
stats.26-01-31.21_24_08.log,15.58,realMDP-SS,config5,2048,1024,512,Store Sets,1,1,1
stats.26-01-31.21_24_58.log,16.0,realMDP-SS,config6,4096,2048,1024,Store Sets,1,1,1
